EmployeeID,Name,Age,Department,Salary
E1000,Edwin Hayes,34,Marketing,89296
E1001,Mary Patterson,26,Finance,52559
E1002,Betty Gilmore,34,Engineering,35020
E1003,Shelby Parker,48,Sales,42748
E1004,Dr. Tracy Mathis MD,59,Finance,43630
E1005,Stephen Evans,34,Marketing,64128
E1006,Cindy Perez,41,HR,112062
E1007,Chad Simon,37,HR,84421
E1008,Lori Garcia,23,Sales,98270
E1009,Christine Taylor,43,Support,109204
E1010,Brandy Stone,58,Support,87680
E1011,Thomas Estrada,26,Finance,109922
E1012,Dominique Curry,54,HR,67499
E1013,Ryan Hughes,53,Support,40224
E1014,James Leon,50,Finance,96760
E1015,Timothy Pittman,23,Marketing,97412
E1016,Lisa Savage,56,Sales,96955
E1017,Scott Meyer,29,HR,79537
E1018,Glenn Curtis,48,Marketing,43087
E1019,Elizabeth Allen,24,Sales,105209
E1020,Amy Myers,54,HR,63166
E1021,Karla Hernandez,29,HR,48093
E1022,Veronica Moore,25,Finance,38285
E1023,Gina King,56,HR,36306
E1024,Amanda Klein,37,Finance,36424
E1025,Sherri Doyle,25,Marketing,44026
E1026,Joseph Mullins,57,HR,102594
E1027,Brianna Arnold,26,Finance,112410
E1028,Angela Williams,34,HR,62853
E1029,Dr. Lori Smith,44,Finance,100137
E1030,Michael Miller,48,Support,102053
E1031,Zachary Sherman,51,Marketing,66538
E1032,Margaret Carr,43,Support,91008
E1033,Nicole Smith,31,Finance,112743
E1034,Matthew Mendoza,39,Finance,116265
E1035,Cassandra Wilson,24,Support,58564
E1036,Bridget Davenport,46,Marketing,60681
E1037,Lauren Banks,48,Finance,118092
E1038,Julie Franklin,41,Marketing,83832
E1039,Danny Campos,22,Support,61454
E1040,Christina Kelley,32,Sales,40414
E1041,Corey Drake,52,Engineering,78009
E1042,Marissa Campbell,60,Finance,65124
E1043,Gregory Macdonald,23,Finance,119839
E1044,David Garcia,41,Support,40363
E1045,Robert Williams,26,Marketing,75902
E1046,Eric Nichols,28,HR,93304
E1047,Misty Hart,57,Marketing,114705
E1048,Patrick Davis,57,Engineering,117352
E1049,Anthony Phillips,55,Support,105624
